Company,Category,Product Code,Product Name,Full Description,Short Code,Commodity Code,EAN (Bar Code),Wash Degrees,Gender,GSM,Composition,Specifications,Colour Code,Colour,Pantone,Hex,Size,Price Single,Qty Single,Price Pack,Pack Qty,Price Caton,Carton Qty,Price 1K,1K Qty,MyPrice,Model Large Image,Model Small Image,Large Colour Image,Small Colour Image,Video Link,Packaging,Country of Origin,Gross Weight,Net Weight,Tax Code
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - 3XL - 220GSM Classic Poloshirt,101FN3XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,3XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - 4XL - 220GSM Classic Poloshirt,101FN4XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,4XL,3.85,1,3.6,10,3.4,60,3.25,1000,3.25,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - 5XL - 220GSM Classic Poloshirt,101FN5XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,5XL,4.35,1,4.1,10,3.9,60,3.75,1000,3.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - 6XL - 220GSM Classic Poloshirt,101FN6XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,6XL,4.35,1,4.1,10,3.9,60,3.75,1000,3.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - L - 220GSM Classic Poloshirt,101FNLR,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,L,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - M - 220GSM Classic Poloshirt,101FNMD,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,M,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - S - 220GSM Classic Poloshirt,101FNSM,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,S,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - XL - 220GSM Classic Poloshirt,101FNXL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - French Navy - XS - 220GSM Classic Poloshirt,101FNXS,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,FN,French Navy,2767 C,#13294B,XS,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-FN-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-FN-L.jpg,,,Pakistan,0.31,0.25,STANDARD
Uneek Clothing,POLOSHIRT,UC101,Classic Poloshirt,UC101 - Heather Grey - XXL - 220GSM Classic Poloshirt,101HG2XL,6105201000,5.05568E+12,60,Unisex,220,50% POLYESTER 50% COTTON,,HG,Heather Grey,429 C,#A8ADB4,2XL,3.35,1,3.1,10,2.9,60,2.75,1000,2.75,https://images.uneekclothing.com/model-highres/UC101-M-H.jpg,https://images.uneekclothing.com/model-lowres/UC101-M-L.jpg,https://images.uneekclothing.com/colour-highres/UC101-HG-H.jpg,https://images.uneekclothing.com/colour-lowres/UC101-HG-L.jpg,,,Pakistan,0.31,0.25,STANDARD
